parametername	parametervalue	parameterxposition	parameteryposition
tempo	53.837719	161.000000	569.000000
track1volume1	0.264706	286.000000	40.000000
track1volume2	0.457143	577.000000	195.000000
track1volume3	0.386018	489.000000	136.000000
track1volume4	0.747596	975.000000	285.000000
track1volume5	0.147619	386.000000	78.000000
track1volume6	0.662963	1155.937378	8.685080
track1volume7	0.282759	962.000000	93.000000
track1volume8	0.202206	690.000000	150.000000
track2volume1	0.131403	495.000000	871.000000
track2volume2	0.562874	1136.000000	924.000000
track2volume3	0.750499	1546.000000	428.000000
track2volume4	0.214458	1164.000000	805.000000
track2volume5	0.294314	352.000000	944.000000
track2volume6	0.167770	809.000000	909.000000
track2volume7	0.264650	1493.000000	979.000000
track2volume8	0.300000	927.000000	908.000000
